Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,LTP,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
CORBL,-,"1,765.60","1,820.00","1,731.10","1,772.47","1,772.54","3,985.00","1,801.58","1,767.20","7,063,575.80",74,-29.11,88.90,-1.62,5.14,0.00,"1,533.29","1,247.81","2,842.30",405.00
CYCL,-,"1,550.00","1,664.60","1,550.00","1,598.26","1,582.97","5,004.00","1,548.16","1,595.00","7,921,178.80",125,50.10,114.60,3.24,7.39,0.96,"1,641.44","1,608.92","1,958.00","1,282.20"
CZBIL,-,208.90,209.00,205.20,208.33,207.96,"36,434.00",207.15,208.20,"7,576,741.80",134,1.18,3.80,0.57,1.85,0.18,223.36,221.47,296.00,152.50
DDBL,-,770.00,778.10,761.50,776.90,770.98,"4,852.00",760.61,776.50,"3,740,806.70",59,16.29,16.60,2.14,2.18,0.76,856.70,881.09,"1,099.00",670.00
DHPL,-,375.20,395.00,375.00,388.90,386.22,"70,897.00",382.75,390.00,"27,381,918.40",306,6.15,20.00,1.61,5.33,0.69,304.89,282.04,427.20,185.30
DLBS,-,"1,529.80","1,555.00","1,529.80","1,536.82","1,537.46","1,993.00","1,512.49","1,555.00","3,064,160.50",44,24.33,25.20,1.61,1.65,-0.04,"1,613.85","1,518.09","2,250.00","1,091.00"
DOLTI,-,677.00,688.90,663.20,679.76,677.37,"8,824.00",674.41,682.60,"5,977,138.50",117,5.35,25.70,0.79,3.88,0.35,669.95,616.95,"1,017.00",384.00
DORDI,-,365.00,370.00,360.10,368.79,365.51,"3,843.00",365.27,368.00,"1,404,645.80",71,3.52,9.90,0.96,2.75,0.89,504.98,493.71,696.00,356.40
EBL,-,602.00,605.00,600.00,603.17,601.97,"24,908.00",600.38,603.00,"14,993,887.00",170,2.79,5.00,0.46,0.83,0.20,608.52,615.78,790.00,487.30
EBLD85,-,"1,145.00","1,145.00","1,145.00","1,145.00","1,145.00",25.00,"1,157.70","1,145.00","28,625.00",1,-12.70,0.00,-1.10,0.00,0.00,"1,113.02","1,087.78","1,178.00","1,012.10"
EBLD86,-,"1,035.00","1,035.00","1,035.00","1,035.00","1,035.00",25.00,"1,040.00","1,035.00","25,875.00",1,-5.00,0.00,-0.48,0.00,0.00,"1,021.40","1,000.27","1,080.00",904.10
EDBL,-,612.00,641.50,612.00,635.84,628.14,"14,228.00",622.92,639.00,"8,937,162.80",109,12.92,29.50,2.07,4.82,1.21,663.63,611.48,838.20,343.50
EHPL,-,695.50,710.90,663.50,703.59,699.18,"49,111.00",684.86,698.00,"34,337,656.90",155,18.73,47.40,2.73,7.14,0.63,806.39,733.54,997.00,423.90
ENL,-,"1,091.00","1,129.40","1,091.00","1,111.00","1,109.48","1,981.00","1,109.92","1,111.00","2,197,886.80",32,1.08,38.40,0.10,3.52,0.14,"1,201.74","1,192.68","1,453.50",733.30
FMDBL,-,749.90,752.00,737.10,748.16,744.01,"13,932.00",737.32,750.00,"10,365,510.80",102,10.84,14.90,1.47,2.02,0.56,773.11,773.73,"1,004.00",593.20
FOWAD,-,"1,173.00","1,174.00","1,160.10","1,165.48","1,164.18","1,438.00","1,151.86","1,170.00","1,674,091.80",33,13.62,13.90,1.18,1.20,0.11,"1,339.68","1,381.84","1,739.00","1,048.60"
GBBD85,-,"1,030.00","1,030.00","1,030.00","1,036.00","1,030.44",27.00,"1,030.30","1,030.00","27,822.00",2,5.70,0.00,0.55,0.00,0.54,"1,032.48","1,017.44","1,090.30",916.00
GBBL,-,380.00,390.00,380.00,387.96,385.21,"13,546.00",380.49,385.00,"5,218,095.90",105,7.47,10.00,1.96,2.63,0.71,421.80,422.90,531.40,350.10
GBILD84/85,-,"1,180.14","1,182.00","1,180.14","1,182.00","1,183.20",25.00,"1,180.14","1,182.00","29,580.00",3,1.86,1.86,0.16,0.16,-0.10,0.00,0.00,"1,220.00","1,000.00"
