Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
KSBBL,18.86,513.10,513.10,484.00,490.00,490.00,0.00,0.00,492.04,"20,599.00",523.34,"10,135,598.80",54,-33.34,29.10,-6.37,6.01,-0.42,474.72,465.48,588.00,416.00
LBBL,20.49,511.90,511.90,472.00,499.00,499.00,0.00,0.00,482.27,"38,125.00",522.27,"18,386,381.70",94,-23.27,39.90,-4.46,8.45,3.35,471.80,470.46,646.30,376.50
LEC,26.25,206.70,206.70,194.00,194.00,194.00,0.00,0.00,196.19,"26,821.00",210.85,"5,261,904.00",60,-16.85,12.70,-7.99,6.55,-1.13,220.42,217.02,299.00,194.00
LICN,18.22,820.00,820.00,773.20,773.20,773.20,0.00,0.00,814.77,830.00,835.80,"676,262.00",11,-62.60,46.80,-7.49,6.05,-5.38,922.35,"1,000.10","2,288.00",773.20
LLBS,31.23,971.00,988.00,971.00,988.00,988.00,0.00,0.00,979.50,20.00,984.00,"19,590.00",2,4.00,17.00,0.41,1.75,0.86,"1,075.41","1,101.02","1,367.30",927.00
LSL,18.60,226.00,226.00,213.00,219.00,219.00,0.00,0.00,216.34,"7,921.00",230.57,"1,713,613.40",36,-11.57,13.00,-5.02,6.10,1.22,223.22,223.44,274.90,201.00
LVF2,25.53,9.00,9.00,9.00,9.00,9.00,0.00,0.00,9.00,"7,000.00",9.12,"63,000.00",2,-0.12,0.00,-1.32,0.00,0.00,9.74,9.55,11.45,8.27
MAKAR,30.19,555.00,555.00,538.60,552.00,552.00,0.00,0.00,551.12,"1,790.00",560.55,"986,506.00",7,-8.55,16.40,-1.53,3.04,0.16,650.23,672.79,860.00,431.30
MANDU,18.22,830.10,830.10,782.10,782.10,782.10,0.00,0.00,788.87,260.00,830.70,"205,107.00",7,-48.60,48.00,-5.85,6.14,-0.87,878.57,898.33,"1,090.00",782.10
MATRI,28.76,977.00,990.00,970.20,971.00,971.00,0.00,0.00,972.16,603.00,996.32,"586,212.20",9,-25.32,19.80,-2.54,2.04,-0.12,"1,176.72","1,208.09","1,540.00",970.20
MBJC,16.59,295.90,295.90,284.20,284.50,284.50,0.00,0.00,288.17,"2,202.00",301.86,"634,540.90",22,-17.36,11.70,-5.75,4.12,-1.29,319.54,329.65,410.00,284.20
MBL,17.71,234.10,234.10,225.00,225.00,225.00,0.00,0.00,227.92,405.00,238.82,"92,307.50",6,-13.82,9.10,-5.79,4.04,-1.30,233.02,232.98,290.00,208.60
MBLEF,24.90,8.79,8.79,8.79,8.79,8.79,0.00,0.00,8.79,"10,000.00",8.96,"87,900.00",1,-0.17,0.00,-1.90,0.00,0.00,0.00,0.00,10.19,8.59
MCHL,28.43,459.50,459.50,459.50,459.50,459.50,0.00,0.00,459.50,20.00,468.85,"9,190.00",1,-9.35,0.00,-1.99,0.00,0.00,557.83,583.43,714.00,452.00
