Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
RBCL,44.08,"15,689.00","15,689.00","15,375.40","15,600.00","15,517.63",104.00,"15,490.00","1,613,834.00",9,110.00,313.60,0.71,2.04,0.53,"17,225.98","17,739.08","24,370.00","13,907.00"
RBCLPO,38.87,"14,149.00","14,280.00","13,900.00","13,994.40","14,043.20",70.00,"13,872.00","983,024.00",6,122.40,380.00,0.88,2.73,-0.35,"15,058.05","14,905.29","20,185.00","11,310.00"
RHPL,43.62,305.10,325.20,305.10,320.00,314.26,"29,724.00",311.00,"9,340,946.40",137,9.00,20.10,2.89,6.59,1.79,370.90,386.15,613.00,288.00
RLFL,42.77,323.00,340.00,317.00,330.00,324.72,"11,460.00",329.00,"3,721,261.50",108,1.00,23.00,0.30,7.26,1.60,460.45,509.44,814.00,273.00
RLI,45.43,417.00,427.00,410.00,420.00,416.70,"8,220.00",424.00,"3,425,247.50",172,-4.00,17.00,-0.94,4.15,0.79,526.52,547.11,795.00,410.00
RMDC,44.53,911.60,932.00,910.00,922.00,917.32,"3,406.00",930.00,"3,124,400.50",58,-8.00,22.00,-0.86,2.42,0.51,"1,161.48","1,298.34","1,800.00",901.00
RMF1,42.87,8.37,8.40,8.22,8.40,8.36,"1,300.00",8.54,"10,869.00",4,-0.14,0.18,-1.64,2.19,0.47,9.00,-,10.30,7.95
RSDC,38.59,592.00,610.00,591.00,603.00,601.82,"1,269.00",603.00,"763,705.50",33,0.00,19.00,0.00,3.21,0.20,713.17,783.46,"1,194.40",572.50
RULB,41.44,"1,038.00","1,070.00","1,025.00","1,060.00","1,048.25","1,558.00","1,059.00","1,633,173.00",119,1.00,45.00,0.09,4.39,1.11,-,-,"1,931.70",502.00
RURU,39.43,850.00,883.00,831.10,883.00,854.31,"2,067.00",848.00,"1,765,864.00",37,35.00,51.90,4.13,6.24,3.25,979.11,"1,062.36","1,849.20",831.10
SABSL,41.52,"1,181.00","1,200.00","1,180.00","1,186.00","1,190.65",680.00,"1,205.00","809,642.00",21,-19.00,20.00,-1.58,1.69,-0.39,"1,410.73","1,588.23","2,306.20","1,041.00"
SADBL,35.59,333.00,358.00,333.00,351.00,343.72,"20,516.00",339.10,"7,051,662.90",124,11.90,25.00,3.51,7.51,2.08,381.80,405.94,595.00,260.00
SAEF,47.35,13.07,13.10,12.85,12.87,13.01,"18,600.00",12.85,"241,995.99",9,0.02,0.25,0.16,1.95,-1.09,13.25,13.82,20.19,11.99
SAHAS,41.93,519.00,555.00,515.00,540.00,530.99,"15,437.00",528.00,"8,196,964.50",316,12.00,40.00,2.27,7.77,1.67,613.02,-,789.40,405.30
SANIMA,43.74,304.00,305.00,300.00,303.90,302.32,"30,317.00",305.80,"9,165,451.30",173,-1.90,5.00,-0.62,1.67,0.52,345.04,392.37,564.90,293.00
SAPDBL,38.35,265.00,272.50,253.00,267.00,263.44,"2,597.00",262.00,"684,152.00",28,5.00,19.50,1.91,7.71,1.33,335.59,364.03,540.00,223.00
SBCF,43.26,8.10,8.72,8.09,8.44,8.53,"24,525.00",8.25,"209,265.25",13,0.19,0.63,2.30,7.79,-1.10,8.85,9.17,11.29,7.95
SBD87,46.87,844.00,844.00,844.00,844.00,844.00,25.00,844.00,"21,100.00",1,0.00,0.00,0.00,0.00,0.00,953.49,-,"1,010.00",838.50
SBI,46.60,319.30,326.00,318.00,325.90,319.09,"10,946.00",325.00,"3,492,732.30",52,0.90,8.00,0.28,2.52,2.09,358.62,363.66,453.90,317.00
SBIBD86,42.13,940.00,940.00,940.00,940.00,940.00,50.00,931.20,"47,000.00",1,8.80,0.00,0.95,0.00,0.00,"1,035.15",-,"1,068.00",929.70
SBL,44.89,393.00,393.00,382.00,386.10,386.71,"8,398.00",388.00,"3,247,615.40",118,-1.90,11.00,-0.49,2.88,-0.16,429.30,456.42,605.00,374.00
SCB,46.60,429.00,435.00,429.00,432.00,431.05,"6,071.00",435.00,"2,616,916.60",68,-3.00,6.00,-0.69,1.40,0.22,472.25,497.48,640.00,422.00
SDBD87,36.98,865.00,865.00,865.00,865.00,865.00,100.00,867.00,"86,500.00",2,-2.00,0.00,-0.23,0.00,0.00,-,-,"1,000.10",860.30
SDLBSL,33.68,"1,103.00","1,142.00","1,100.00","1,125.00","1,112.47",746.00,"1,125.00","829,903.20",31,0.00,42.00,0.00,3.82,1.11,"1,260.87","1,404.50","2,079.00","1,026.00"
SEF,27.29,10.65,10.65,10.65,10.65,10.65,"6,000.00",10.75,"63,900.00",1,-0.10,0.00,-0.93,0.00,0.00,10.75,10.96,17.04,10.01
SFCL,43.44,286.00,288.00,276.40,288.00,283.37,"2,515.00",282.00,"712,676.50",38,6.00,11.60,2.13,4.20,1.61,389.90,441.21,720.00,245.00
